,Date,Open,High,Low,Close,DaiVolume,Market Cap,DaiMean
329,31-May-20,1.01,1.01,0.9902,0.9923,7713504,128749944,1.00115
330,30-May-20,0.9879,1.01,0.9829,1.01,11709752,126164423,0.99895
331,29-May-20,1.01,1.02,0.9836,1,8929349,121755731,1.005
332,28-May-20,1.01,1.01,0.9992,1.01,12318448,121599261,1.01
333,27-May-20,0.9989,1.01,0.9987,1.01,6640750,121034255,1.00445
334,26-May-20,0.9966,1,0.9925,0.9989,8867698,119299894,0.99775
335,25-May-20,0.9858,1,0.9819,0.9964,6484030,120099418,0.9911
336,24-May-20,1,1.01,0.986,0.9866,7440923,118979753,0.9933
337,23-May-20,1.01,1.01,0.9962,1,6222107,120957842,1.005
338,22-May-20,0.9967,1.01,0.9942,1.01,7654987,124787998,1.00335
339,21-May-20,1,1,0.9842,0.9965,11070155,118421808,0.99825
340,20-May-20,0.9953,1,0.9946,1,7484489,119951509,0.99765
341,19-May-20,0.9989,1.01,0.9926,0.9953,9417566,113648939,0.9971
342,18-May-20,0.9953,1.03,0.9916,0.9993,10500725,113769981,0.9973
343,17-May-20,1,1.02,0.9834,0.9939,7680861,109584305,0.99695
344,16-May-20,0.9846,1.01,0.9792,1,8373798,110058026,0.9923
345,15-May-20,1.01,1.01,0.9777,0.9857,13711063,107742091,0.99785
346,14-May-20,1.02,1.03,0.9983,1.01,16490183,110000727,1.015
347,13-May-20,1,1.03,1,1.02,14847587,109861865,1.01
348,12-May-20,0.9941,1.01,0.9917,1,13648002,108467168,0.99705
349,11-May-20,1.01,1.01,0.9785,0.9932,18909909,107816854,1.0016
350,10-May-20,1,1.01,0.9455,1.01,28200453,110223366,1.005
351,9-May-20,1,1.01,0.9943,1,15036577,112337890,1
352,8-May-20,1.01,1.02,0.9961,1,20837246,111610475,1.005
353,7-May-20,0.9979,1.02,0.9852,1.01,19393707,112516049,1.00395
354,6-May-20,1.01,1.02,0.9975,0.9979,12507706,110974342,1.00395
355,5-May-20,1.01,1.02,0.9894,1.01,13580697,112775729,1.01
356,4-May-20,0.9937,1.02,0.9761,1.01,17318067,111844255,1.00185
357,3-May-20,1.01,1.02,0.9884,0.9933,15160972,110092899,1.00165
358,2-May-20,1.01,1.01,0.9961,1.01,13143639,108819528,1.01
359,1-May-20,0.9997,1.03,0.9961,1.01,14682420,99105462,1.00485
360,30-Apr-20,1.02,1.03,0.9866,0.9997,20539852,99398642,1.00985
361,29-Apr-20,1.01,1.04,0.9999,1.02,21346830,101434381,1.015
362,28-Apr-20,1.01,1.01,0.9968,1,12076580,97246819,1.005
363,27-Apr-20,1.01,1.02,0.9942,1.01,12156993,97307737,1.01
364,26-Apr-20,1.02,1.02,1,1.01,13488537,97567652,1.015
365,25-Apr-20,1.01,1.03,1.01,1.02,12310801,97566012,1.015
366,24-Apr-20,0.9997,1.02,0.9984,1.01,12387992,96300420,1.00485
367,23-Apr-20,1.02,1.02,0.9957,1,17618690,92938591,1.01
368,22-Apr-20,1.01,1.02,1.01,1.02,12915203,90521125,1.015
369,21-Apr-20,0.9928,1.01,0.9915,1.01,12951849,89986142,1.0014
370,20-Apr-20,1.01,1.02,0.9893,0.9926,15635487,87269191,1.0013
371,19-Apr-20,1.02,1.02,1.01,1.01,18523518,87766453,1.015
372,18-Apr-20,1.01,1.04,1.01,1.02,14913751,83987549,1.015
373,17-Apr-20,1.02,1.03,1.01,1.01,12094160,82153813,1.015
374,16-Apr-20,0.9842,1.04,0.9746,1.02,16579140,82949110,1.0021
375,15-Apr-20,0.9943,1.01,0.9807,0.9837,11645055,79125180,0.989
376,14-Apr-20,1.01,1.02,0.9907,0.9934,11939085,79480334,1.0017
377,13-Apr-20,1.01,1.02,0.9864,1.01,11707567,80511877,1.01
378,12-Apr-20,1,1.02,0.9943,1.01,13380743,80562058,1.005
379,11-Apr-20,0.9967,1.01,0.9873,0.9997,12248595,79622320,0.9982
380,10-Apr-20,1.02,1.02,0.9858,0.9967,14191847,79369495,1.00835
381,9-Apr-20,1.02,1.02,1,1.02,12718638,80973828,1.02
382,8-Apr-20,1.02,1.02,1.01,1.02,14591054,80454950,1.02
383,7-Apr-20,1.05,1.05,0.9987,1.02,26530743,81164683,1.035
384,6-Apr-20,1.01,1.05,1.01,1.05,18594074,91029919,1.03
385,5-Apr-20,1.02,1.02,1,1.01,10032522,87012473,1.015
386,4-Apr-20,1,1.02,0.9976,1.02,12492038,88312432,1.01
387,3-Apr-20,1.02,1.02,0.9989,1,11837308,86179591,1.01
388,2-Apr-20,1.02,1.04,1.01,1.02,15542369,87444086,1.02
389,1-Apr-20,1.01,1.03,0.9948,1.02,10886562,84665103,1.015
390,31-Mar-20,1.02,1.02,1,1.01,12821515,84021801,1.015
391,30-Mar-20,0.9807,1.02,0.9787,1.02,13705358,83335720,1.00035
392,29-Mar-20,1,1.02,0.9792,0.9813,10464517,79650413,0.99065
393,28-Mar-20,1,1.01,0.9801,1,14286337,81766315,1
394,27-Mar-20,1.02,1.02,0.9966,0.9995,12289196,80871727,1.00975
395,26-Mar-20,1,1.02,0.9962,1.02,14627888,82784647,1.01
396,25-Mar-20,1,1.01,0.9822,1,12357470,81083970,1
397,24-Mar-20,1.03,1.05,0.9825,1,11655469,80709177,1.015
398,23-Mar-20,0.9713,1.04,0.9687,1.04,11059862,83443900,1.00565
399,22-Mar-20,1.01,1.02,0.9686,0.9713,13047508,78568470,0.99065
400,21-Mar-20,0.9925,1.02,0.983,1.01,12761240,83760244,1.00125
401,20-Mar-20,1.02,1.05,0.964,0.9925,23741397,82581980,1.00625
402,19-Mar-20,0.9941,1.04,0.9941,1.02,20868363,82872609,1.00705
403,18-Mar-20,0.9908,1.01,0.9885,0.9941,14477589,92651064,0.99245
404,17-Mar-20,1.03,1.06,0.9851,0.9934,17205581,90723381,1.0117
405,16-Mar-20,1.04,1.07,0.9922,1.03,33814026,93478571,1.035
406,15-Mar-20,0.9985,1.08,0.9933,1.03,28727471,99303091,1.01425
407,14-Mar-20,1.09,1.1,0.9919,0.9985,23698135,94189048,1.04425
408,13-Mar-20,1.03,1.11,0.9782,1.09,71260808,105858180,1.06
409,12-Mar-20,1,1.07,0.9928,1.04,70263958,109634315,1.02
410,11-Mar-20,0.9956,1,0.9781,1,26100688,116990213,0.9978
411,10-Mar-20,1.01,1.01,0.9888,0.9957,18890026,118178863,1.00285
412,9-Mar-20,0.9765,1.01,0.9756,1.01,30491965,119688330,0.99325
413,8-Mar-20,0.9953,1,0.9746,0.9774,20791946,118613645,0.98635
414,7-Mar-20,1.02,1.02,0.9866,0.9953,19365810,121052984,1.00765
415,6-Mar-20,1.01,1.02,1,1.02,19142305,123080292,1.015
416,5-Mar-20,1,1.01,0.9994,1.01,18795764,118581272,1.005
417,4-Mar-20,0.9994,1.01,0.9952,1,16405147,117832570,0.9997
418,3-Mar-20,1,1.01,0.9921,0.9994,15858690,117180433,0.9997
419,2-Mar-20,0.9996,1.01,0.9955,1,21259891,117608068,0.9998
420,1-Mar-20,0.9961,1.01,0.9869,0.9995,25826815,116656790,0.9978
